X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-76.7025,38.7842,train,6.729798258636333E-4,41.0190361116024,0.7322405171172081
-79.9413,38.767,train,0.0010783823412430717,90.85153407647474,0.8789349413448398
-78.7947,38.8292,train,6.963497363413646E-4,43.42356675964102,0.7442163870200194
-75.7966,38.2265,train,6.660609761965719E-4,39.900054526167956,0.7285885481826195
-79.7265,39.1213,train,9.890028281947828E-4,84.2688282861608,0.855781516268942
-78.6354,39.0721,train,8.905923503091579E-4,71.26956849851274,0.8251352236722139
-77.3266,38.9386,train,0.0011095747583793713,92.55334730454577,0.8861075437406085
-76.5941,39.2243,train,9.6857732664822E-4,81.32798781134744,0.8498970083385418
-79.668,39.1174,train,9.802470456540234E-4,82.84563685187824,0.8532877990220384
-76.5121,39.5813,train,6.322765190752132E-4,36.30159823090134,0.7100279654014764
-76.1294,38.859,train,6.809694753842838E-4,41.76387877245634,0.7363965927472452
-73.2052,42.6555,train,4.669677906003829E-4,25.363531386763395,0.5992042229085311
-81.881,37.4597,train,5.264809460611547E-4,29.00808865577026,0.6432883466226454
-81.8826,37.4115,train,5.449680478589405E-4,30.02415428116852,0.6559693352384763
-82.4048,39.1921,train,2.2264124266450637E-4,15.017802880062952,0.3533319494447349
-75.6498,39.7883,train,7.945845405258014E-4,58.3307297462765,0.7889717066332911
-79.592,38.9716,train,0.0011232730199419753,93.26902173393414,0.8891216097015757
-80.0096,38.0075,train,6.954050892954589E-4,43.25781983070166,0.7437428572078186
-75.6094,40.8089,train,2.2850946486962842E-4,15.276066441958033,0.3607194703916907
-77.3936,39.6485,train,6.615033517736083E-4,39.30497663147093,0.7261557323645215
-79.533,38.7015,train,0.0012614767150229522,98.25381676957716,0.9154082280209724
-81.0645,39.049667,train,7.588678146778399E-4,52.619487890656934,0.7736858538920235
-81.7674,37.6099,train,6.531044974310092E-4,38.101228385300594,0.7216152411201966
-81.6809,37.4679,train,5.781004191847558E-4,32.048474262030716,0.6775787218698076
-81.606,36.6349,train,4.621629308624355E-4,24.757671259911927,0.5954158592928804
-76.5421,39.2599,train,8.805972681859609E-4,69.84757703087631,0.821679424156805
-76.6722,38.8784,train,7.513236123804142E-4,51.47660803543605,0.7703181038386788
-76.94,38.9875,train,0.0011586949403663818,94.86459477858027,0.8965509325558876
-82.0783,38.9095,train,3.2475699287203214E-4,19.23327601190344,0.47052033211581823
-87.077,31.002,train,2.0341151059585648E-5,2.3812401466998754,0.039044442339557506
-78.7299,39.0452,train,8.713671226118694E-4,68.92415038997827,0.8184274761010104
-80.0329,39.2442,train,9.527500581025838E-4,79.30915373725449,0.8451726237412908
-75.7404,38.999,train,8.803018898373461E-4,69.79118790553322,0.821576264698803
-79.7722,39.1808,train,9.011249876166716E-4,73.1632087321045,0.8287044361009746
-75.9763,38.7267,train,8.343547676206414E-4,64.00466351174045,0.8047806522323906
-80.4928,38.3406,train,0.0010564741785103594,89.54259130443582,0.8736288343535852
-76.3795,39.248,train,7.84420970537862E-4,56.34427264451632,0.7847302144054281
-75.3826,38.084,train,6.583547913737997E-4,38.8000162418693,0.7244623369707814
-79.9184,38.6911,train,0.0010706530870234169,90.46800080160493,0.8770888630871971
-80.1101,39.3319,train,9.917444128631583E-4,84.6089240735542,0.8565535936476133
-76.6655,39.5174,train,7.149308457629401E-4,46.610987941106075,0.7533548175329737
-80.4461,39.0914,train,7.994613593136397E-4,59.03777612261944,0.79097714281733
-79.8402,39.5412,train,7.485951114907943E-4,51.27566065278682,0.7690877931713826
-75.7688,39.089,train,9.583802073739822E-4,79.89704844377344,0.8468700052407769
-79.2319,39.4325,train,7.804063015420386E-4,55.52379766140003,0.7830314068540689
-83.674,33.79,train,1.773778966118732E-4,13.050334449197253,0.2934055866474585
-79.4101,39.4084,train,9.447470880927638E-4,78.55065019987163,0.8427274522949695
-76.7888,39.0371,train,0.0013313748331901288,99.1718327373774,0.9262279869537866
-78.4664,39.2306,train,6.910245436691096E-4,42.71611002385787,0.7415355066061096
-81.231333,39.2125,train,7.314900916236181E-4,48.81691873158371,0.7612233754209079
-81.0042,39.2469,train,8.392281615439203E-4,64.52199508990765,0.8066345567817969
-79.4731,39.0729,train,5.280435085065442E-4,29.13903679075959,0.6443780137439192
-76.8749,39.0347,train,0.0011479565304591513,94.62778157472732,0.894352852529213
-76.6022,38.8917,train,7.13887082215956E-4,46.43382871451372,0.7528502469177423
-79.7003,38.9803,train,8.832295925138715E-4,70.36560187129915,0.8225961205204149
-80.5556,39.7411,train,7.003933699765695E-4,44.046218003926136,0.74623349796132
-71.6711,41.4318,train,3.446074332530045E-4,20.063613363306928,0.49070447900191394
-79.8935,38.4696,train,0.0010242596766706293,87.28059865041926,0.8654012711118655
-81.8868,39.4425,train,3.632483455541506E-4,20.63488817034942,0.5089576786439487
-80.059,39.5211,train,6.10482597885096E-4,34.78404282814098,0.697386605327901
-80.4555,38.9218,train,7.814039140218132E-4,55.962174958198496,0.7834547943330814
-78.661,38.9311,train,8.343620706521338E-4,64.01107775466541,0.8047834436593649
-80.1635,38.5123,train,8.411984869413912E-4,65.01206616858738,0.8073790876683198
-78.7196,38.923,train,9.337395720828608E-4,77.32842074039075,0.8393010842546932
-76.9559,39.4541,train,7.810511324762618E-4,55.818114015535365,0.7833051680886359
-80.3362,37.5183,train,1.216237169592328E-4,9.146235768759269,0.2119030116653724
-80.1857,38.3122,train,9.270839379280247E-4,76.58619603759065,0.8371932398467214
-77.1963,38.566,train,8.10217960105529E-4,60.54144923921859,0.7953333333885392
-75.8206,39.0072,train,8.235427506207659E-4,62.58095401080073,0.8006039075858615
-77.3882,40.0096,train,4.7957317980056865E-4,26.441454697683454,0.6089751189353996
-82.2186,37.8421,train,3.964258657054237E-4,21.973013653212774,0.5398418976198789
-77.7444,39.3414,train,9.61772734938248E-4,80.42010401989491,0.8478837891914219
-79.7749,38.9205,train,9.598632952456864E-4,80.07461128248106,0.8473140227449714
-76.4129,39.6147,train,6.66878568390683E-4,40.0593895375802,0.7290226790682784
-76.6982,38.9786,train,8.675430711724654E-4,68.50486634188486,0.8170628801797797
-78.5989,39.133,train,8.80971426385569E-4,69.93478711577761,0.8218100114743013
-78.7292,38.8891,train,7.260806680231604E-4,48.18811816393015,0.7586809508715721
-80.227,38.3318,train,9.361690513820927E-4,77.63078779622806,0.8400636845585872
-77.3015,38.3637,train,6.080441888349186E-4,34.540126920300224,0.6959383831530741
-81.4223,37.3194,train,4.449028010909542E-4,23.99161552282365,0.5815094397151079
-79.8277,38.5661,train,0.00104364855422575,88.77320172972247,0.8704152162172212
-76.9449,38.9293,train,9.113783174558127E-4,74.74393432785571,0.83210900653987
