X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-76.8211,39.0181,train,0.0018475965884202394,92.28897141662544,0.9059745895810392
-76.80775,39.08541,train,0.0016332957861500408,81.55296407512871,0.8763091846535991
-76.689,38.8594,train,0.001338027369561486,61.097350240525344,0.8195215481261701
-77.5898,39.0256,train,0.001815745756586698,90.82474936782427,0.9020632863916748
-76.7883,39.0369,train,0.0017289772563929948,86.75856362266265,0.890562815501158
-96.3569,46.4838,train,1.6038858864633407E-4,9.586497676282926,0.18554306516965158
-78.6679,37.8479,train,7.031570193222912E-4,25.588335256816695,0.5933335077894699
-77.4298,39.5521,train,0.0012939209837521258,58.32987278050141,0.8090426593396178
-76.747,38.9624,train,0.0012291381783543552,54.700308203511675,0.792538385863634
-96.3802,45.3362,train,0.001504448066963378,74.09404280780367,0.8541382930313108
-76.8728,39.035,train,0.002083923105138999,98.88176537269716,0.9305115229958136
-78.4585,39.333,train,0.0015640095542827721,76.76702061899367,0.8648420762794703
-82.4048,39.1921,train,4.1134473678548154E-4,18.632483359414937,0.40924740802407356
-95.3201,45.3449,train,4.357959869832413E-4,19.54711119484306,0.4274446513638249
-82.3835,35.6975,train,9.373456339225281E-4,35.524473262015924,0.6986341554543801
-96.4625,46.6414,train,7.531085238013008E-5,5.750327955110661,0.0918702331738267
-77.3915,39.3642,train,0.001714948843438315,85.55402247904865,0.8885805924892426
-76.45,39.6667,train,0.0011569030142326109,49.50919181316781,0.7724480267862466
-78.4623,39.2259,train,0.001512961432755758,74.33717418725098,0.8557186472966206
-80.8707,37.572,train,4.441288235147039E-4,19.721931629594373,0.4335172178388176
-78.4484,39.2681,train,0.0014431886067932064,69.28688447694579,0.8422444391728456
-75.9309,39.6585,train,0.0012861797078464574,57.5543909439199,0.8071416819504741
-87.089,41.6313,train,1.6847952366521847E-4,9.952584761990801,0.1939317885887888
-76.1196,38.4446,train,0.001267266781799004,56.269357004299195,0.8024173745431422
-81.4188,39.391,train,0.0010683143153126932,44.828370781649085,0.7451342249157885
