X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-76.6748,38.8775,train,0.00150174708785261,47.03514992207543,0.7958331532005033
-75.639,38.58,train,0.0027843554809610553,94.96938063292114,0.9474395436915757
-75.5065,38.2416,train,0.0011991941497883382,35.997899649840754,0.7188095031738977
-76.6683,38.9282,train,0.0015412579911342301,48.722189062027496,0.8041917610816257
-75.746,38.6568,train,0.0026393371298056773,93.62089347490026,0.9387238615218401
-76.3801,38.7548,train,9.709074198615568E-4,31.49513530374618,0.6419920970727615
-80.2353,34.6029,train,0.0012095242815874767,36.83151691351261,0.7218659210332974
-76.3803,38.7713,train,8.454492717768529E-4,29.409702341013652,0.5911749886714219
-77.5945,39.0321,train,0.002321157748137389,79.44416683722801,0.9142001039074021
-75.5145,38.9144,train,0.002315687022618832,78.51610047188503,0.9137020614053025
-76.1537,39.3155,train,0.0020318218754084407,67.31337408199165,0.8834722737128503
-77.6875,39.4886,train,0.001380554103250452,43.51253798300507,0.7679025705238061
-76.7318,38.949,train,0.001519171974574952,47.3388008915221,0.7995625231777898
-77.2663,38.9371,train,0.001862288050121831,61.269625116780226,0.860579776562597
-75.7455,39.0357,train,0.0025296292282769466,90.76921868494111,0.9311824205278486
-75.566,38.678,train,0.002319272259427246,78.90731024023627,0.9140287787182233
-77.1691,39.6638,train,0.0013379573323790135,41.72696996077708,0.7572034738539832
-75.4108,38.4204,train,0.002539999648827379,91.52802661588217,0.9319333389342114
-69.979,41.9037,train,6.601866331238341E-4,26.231046647604266,0.5026513413072181
-75.6606,38.5287,train,0.0026836129546736927,94.42065265338377,0.9415280243486257
-75.7688,39.089,train,0.002539974942874052,91.31884957320571,0.9319315597577569
-75.5429,38.8525,train,0.0020882157785391702,69.37697206878904,0.8902213966245764
-76.7322,38.9893,train,0.0019939603169866677,65.55130775037483,0.8787098033078555
-76.6924,38.8329,train,0.001639972736532356,54.13643720766171,0.8236099699034399
-80.17584,34.63679,train,0.0010422395331689933,32.62263848345118,0.6680158779621372
-75.528,38.639,train,0.0035317874389055297,99.26573122332051,0.9761640174213745
-76.9195,39.0238,train,0.0026378887685167295,93.35744850570238,0.9386298938719257
