X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-80.0905,42.1674,train,2.311574997080798E-4,15.608369296811516,0.1442455624960125
-76.3801,38.7548,train,0.0019665461051974744,39.38097470689867,0.7342531157953048
-75.9014,36.6502,train,0.003123270991786007,50.11914627763014,0.8781179800025594
-76.3803,38.7713,train,0.001617113318964659,35.55098536917535,0.6636947761737755
-75.566,38.678,train,0.004535140535022739,68.93634057486213,0.9529304383090772
-76.3775,39.2492,train,0.001232262972276941,32.859867234728306,0.5641225591640588
-75.359,37.9124,train,0.003935962442826986,59.284840085751185,0.9295150563705434
-75.561,38.7441,train,0.004983531601222681,74.67659408304446,0.9652052701104734
-75.0627,38.3893,train,0.006921346583968374,92.09885877659165,0.9905726390255196
-76.6695,38.8778,train,0.003654898476552219,56.98018102175927,0.914817009002278
-75.1613,38.1836,train,0.009570043835554546,100.0,0.9984179539582001
-81.4597,30.808,train,5.302132532316162E-4,22.976610031490097,0.3004365149456789
-80.231,34.5361,train,0.0017879035941305438,36.760270457459534,0.7002563994421772
-75.7455,39.0357,train,0.006992417472743367,93.4926660919559,0.9910135028224816
-76.8556,39.0181,train,0.003399273167633287,53.11451457005017,0.8988037300898738
-76.8118,38.9655,train,0.004095365630213137,62.09835373308524,0.9366939491144239
-75.5702,38.8398,train,0.005555604693917163,81.67751106718644,0.9763359077537681
-76.8206,39.0069,train,0.0035260905417158336,55.900411524193366,0.9070926709421965
-81.4369,30.8264,train,7.495028545237874E-4,26.766536480912738,0.3965385022353103
-75.3043,37.9695,train,0.003939784991865744,59.678639180884176,0.9296963869633325
-75.3136,37.9486,train,0.0038806296483245867,58.49817813138775,0.9268372331884117
-75.5454,38.9877,train,0.007941268728325122,96.5110084376587,0.9952586888318904
-75.2808,37.9808,train,0.0038300447544113,58.110154333874405,0.9243002650971708
-76.3998,38.3922,train,0.002301138364770714,42.4038191764628,0.7878973980680524
-75.7823,39.0247,train,0.006178158293439039,88.17331577551079,0.9844441931474143
-76.7917,39.0449,train,0.0033939250286976314,52.721056189335755,0.8984383617498448
