X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-101.9632,43.7553,train,0.010566248851336895,67.05963174858805,0.9570812838561886
-102.8176,43.4877,train,0.009158630864707206,48.10491062283424,0.9347165289669664
-112.9876,37.2033,train,0.0022355033943509454,26.120395085111237,0.48630091515432416
-101.9335,43.7511,train,0.009611283048130437,53.77443373616156,0.9429538172948939
-102.1451,43.715,train,0.010190461888141015,59.756752169373556,0.9519961108252838
-102.0311,43.7896,train,0.011871890673764202,86.23447664315421,0.970913819066961
-111.7087,40.4436,train,2.7423612933895607E-4,14.096816192132877,0.07846517703549005
-101.9888,43.7546,train,0.010451248503822301,63.89387621218874,0.9555851044441236
-102.5411,43.6265,train,0.01228539654212857,91.10341344278703,0.9742856302284435
-102.2121,43.848,train,0.012926209193172906,93.6347384769642,0.9787553375597965
-101.9076,43.7808,train,0.00801462206638293,41.04793980187625,0.9081991482812436
-102.0778,43.7933,train,0.011708944913542746,82.6864853725701,0.9694667434457847
-102.4991,43.7485,train,0.011824406326977076,85.04767880401077,0.9704993531711587
-110.7772,41.8704,train,0.003094039218549573,29.50897184092025,0.6022522778297555
-102.8511,43.6205,train,0.009631354768017826,54.73747151023184,0.943293981566428
-102.4172,43.7569,train,0.017282774235274006,99.99993660507648,0.9941993447508345
-102.1077,43.7938,train,0.011178221027021634,75.83587336889876,0.964235442997918
-102.4219,43.8827,train,0.012333818389815076,92.34214557370436,0.9746539826427577
-102.5851,43.5276,train,0.011228123098181197,78.07804864508601,0.9647633071355184
-102.694,43.5915,train,0.00864743702118694,44.46735868244646,0.9239751409431218
-102.2486,43.8796,train,0.010836546594344116,70.27915416510241,0.9604024669102773
-102.0387,43.7165,train,0.010325029004250552,61.81559117246578,0.9538828551269675
-102.2484,43.766,train,0.013988012547543586,95.03353855344173,0.9845173828907112
-102.5703,43.6791,train,0.008597670127966785,42.740882190248485,0.9228393567219147
-110.7201,45.0312,train,8.256982804780932E-4,21.145859782556304,0.21810517624923753
-102.0777,43.7089,train,0.010607361008526136,68.1181062466612,0.9576038426726058
-102.5791,43.711,train,0.008331754489614917,41.881124337729545,0.9164767560326227
-101.9431,43.7836,train,0.010107130759209375,57.723089525786136,0.9507892358594948
-110.7653,41.865,train,0.0025992890838490777,28.080231390206084,0.5390730027646042
-102.2274,43.8663,train,0.01092538286977317,71.37090930774265,0.9614368911662614
-108.7376,39.1019,train,5.195284554305234E-4,18.727786090158656,0.14341778874038513
-102.8106,43.6506,train,0.009555465560697703,52.813099442724926,0.9419970880003717
-112.1623,37.6425,train,0.004587077267538787,33.986032857113415,0.7450839514512886
-110.697,44.9726,train,0.002319665875595501,26.81087994839302,0.499023303828795
-102.5058,43.5077,train,0.008618264228833303,43.60282857766365,0.9233114006651757
-102.5316,43.725,train,0.01017034101850811,58.74169793577065,0.9517074410533094
-102.1586,43.8183,train,0.011124554324718207,72.48332018310774,0.9636589282552128
-102.6076,43.5046,train,0.010017750454355474,56.711710883248564,0.9494610048581368
-102.1889,43.7234,train,0.01148459689027522,80.35659882894142,0.9673558417864627
-102.6267,43.5463,train,0.00913426575624863,47.188931443367316,0.9342408382837637
-102.0165,43.7837,train,0.011157791655210157,73.59907397792011,0.9640170664574862
-102.6834,43.6457,train,0.007584488851476444,38.68696271487985,0.8956459682648086
-102.5098,43.8016,train,0.010227186251625182,60.78101032914194,0.9525185458104318
-110.7703,41.8361,train,6.810839127865782E-4,20.00994253703547,0.18367604432164153
-102.7986,43.6386,train,0.011304520973405388,79.20829271297961,0.9655563892474538
-102.4843,43.5266,train,0.00909943218001459,46.27567328408788,0.9335547409410656
-102.4215,43.9027,train,0.010758167616624244,69.19469585794418,0.9594667928184004
-110.4124,44.9217,train,0.012284633979775712,89.93236583137013,0.9742797866863465
-102.8606,43.6327,train,0.007963723350134747,40.24652491661664,0.9067962485468951
-102.4477,43.771,train,0.01225208742630342,88.6516744458444,0.9740291395484165
